target,images,lat,lon,admin1,admin2
Al_Raqqah_Syria,23,35.958112,39.009621,Al Raqqah,Syria
Kaanapali_Hawaii,23,20.821917,-156.638751,Kaanapali,Hawaii
Kule_Ethiopia,23,11.73562,39.643096,Kule,Ethiopia
Santa_Rosa_Peru,23,-11.808613,-77.165693,Santa Rosa,Peru
Inabba_Yemen,22,16.1271666,44.9072127,Inabba,Yemen
Sabratha_Libya,21,32.802928,12.485886,Sabratha,Libya
Kankesanturai_Sri Lanka,20,9.809882,80.046225,Kankesanturai,Sri Lanka
As_Sawda_Yemen,19,16.168997,44.621126,As Sawda,Yemen
Chaposwa_Zambia,18,-16.720763,27.96317,Chaposwa,Zambia
Daadab_Kenya,18,0.204834,40.284033,Daadab,Kenya
Rose_Atoll_National_Monument_U.S.,18,-14.544,-168.1564,Rose Atoll National Monument,U.S.
Pooneryn_Sri Lanka,17,9.834433,80.088335,Pooneryn,Sri Lanka
Ptolemais_Libya,17,32.70071,20.94621,Ptolemais,Libya
Taiz_Yemen,16,13.65942583,43.99370183,Taiz,Yemen
Bryce_Canyon_UT,15,37.5930377,-112.1892782,Bryce Canyon,UT
North_Ucayali_Peru,15,-8.393784,-74.151653,North Ucayali,Peru
Orona_Kiribati,15,-4.4769223,-172.1126015,Orona,Kiribati
Bille_Nigeria,14,4.568167,6.892979,Bille,Nigeria
Deir_ez_Zor_Syria,14,35.344922,40.119783,Deir ez Zor,Syria
Orpheus_Island_Australia,14,-18.617429,146.495837,Orpheus Island,Australia
Mari_Syria,13,34.5515,40.8885,Mari,Syria
Marib_Sirwah_Yemen,13,15.451998,45.01816,Marib Sirwah,Yemen
Swains_American Samoa,12,-11.0565,-171.0781,Swains,American Samoa
Old_Fangak_South Sudan,11,9.071521,30.883847,Old Fangak,South Sudan
Treemetrics_Ireland,11,51.880858,-9.205312,Treemetrics,Ireland
Karachi_Pakistan,10,24.845342,66.989209,Karachi,Pakistan
King_of_Prussia_Mall_PA,10,40.089075,-75.387966,King of Prussia Mall,PA
Shenandoah_National_Park_VA,10,38.8362,-78.203978,Shenandoah National Park,VA
Damasak_Ngala_Nigeria,12,13.105,12.50666,Damasak Ngala,Nigeria
Hadalat_Border_Syria,9,32.860248,37.816543,Hadalat Border,Syria
Nikkou_Kaizan_Philippine Sea,9,23.07833,142.3255,Nikkou Kaizan,Philippine Sea
Chetimari_Niger,8,13.20325,12.43711,Chetimari,Niger
